customer_care_calls,customer_rating,prior_purchases,discount_offered,weight_in_gms,warehouse_block,mode_of_shipment,product_importance,gender,delivery_status,weight_category
4,3,2,6,4276,B,flight,medium,male,on_time,High
3,1,2,12,2123,F,ship,low,female,on_time,Low
3,3,3,4,5924,F,ship,medium,female,on_time,High
6,3,4,2,1270,B,road,medium,male,on_time,Low
4,1,3,6,5345,A,ship,low,female,on_time,High
4,1,3,4,4634,B,ship,low,male,on_time,High
5,5,3,9,5295,F,road,medium,male,late,High
3,3,4,2,5040,C,ship,low,male,on_time,High
5,3,5,7,1565,B,flight,medium,female,on_time,Low
6,4,4,6,1582,D,ship,medium,male,late,Low
3,5,3,9,3206,C,road,high,female,on_time,Low
6,1,4,2,5656,F,ship,low,male,late,High
4,1,4,13,1569,D,ship,low,female,on_time,Low
4,3,10,6,4251,F,ship,medium,male,on_time,High
6,3,4,5,1355,F,ship,low,male,on_time,Low
6,1,5,19,1842,D,flight,medium,male,on_time,Low
4,2,3,3,5364,C,ship,high,female,late,High
4,3,4,7,4460,C,road,medium,male,late,High
5,3,2,5,5612,A,flight,medium,male,on_time,High
5,2,2,24,2415,F,ship,high,male,on_time,Low
5,1,3,4,4200,C,road,low,male,late,High
2,4,3,2,5700,F,flight,high,male,late,High
4,2,3,4,5989,B,ship,low,male,late,High
5,5,8,9,2236,F,ship,medium,female,on_time,Low
6,1,3,5,4435,D,ship,high,female,on_time,High
4,3,3,1,5717,C,ship,medium,male,on_time,High
3,5,6,8,4777,D,ship,high,male,late,High
6,3,4,7,1626,F,ship,medium,male,on_time,Low
3,3,2,2,5661,B,flight,low,female,late,High
3,5,3,44,1424,C,ship,medium,male,on_time,Low
4,1,4,3,5773,D,ship,low,male,on_time,High
3,5,2,8,4408,F,road,medium,male,on_time,High
2,4,2,13,1240,C,ship,medium,male,on_time,Low
6,5,2,4,5898,F,ship,high,male,on_time,High
3,2,3,9,4342,F,flight,high,male,on_time,High
4,2,4,7,5056,F,ship,medium,male,on_time,High
2,1,3,29,2732,D,ship,low,male,on_time,Low
4,2,3,1,5385,F,ship,medium,female,late,High
4,3,2,2,1714,D,ship,low,male,on_time,Low
6,3,4,2,1833,C,flight,low,male,on_time,Low
6,4,4,7,1094,B,ship,medium,female,on_time,Low
5,5,5,6,1860,D,ship,low,female,late,Low
4,3,2,3,4961,D,ship,medium,male,on_time,High
3,5,8,8,5002,D,ship,medium,female,on_time,High
4,2,2,7,5876,A,ship,medium,female,on_time,High
4,3,3,3,4845,B,road,medium,female,on_time,High
5,5,2,65,3671,A,ship,high,male,on_time,High
5,3,2,1,5294,F,ship,medium,female,on_time,High
5,2,4,8,1631,F,ship,medium,male,on_time,Low
5,5,4,1,5225,D,ship,low,male,on_time,High
4,5,2,6,4610,B,road,low,male,late,High
2,2,3,64,2867,F,ship,medium,male,on_time,Low
4,3,6,3,5957,A,flight,medium,male,on_time,High
4,2,2,3,4622,F,ship,medium,male,on_time,High
5,2,7,12,2056,F,road,low,female,on_time,Low
4,3,5,2,4823,F,ship,low,male,on_time,High
2,2,3,5,4151,F,ship,low,female,on_time,High
2,5,6,5,5490,C,ship,medium,female,late,High
5,2,4,37,2608,D,road,high,male,on_time,Low
4,1,3,42,3077,F,flight,low,male,on_time,Low
6,2,3,4,5970,D,ship,medium,female,late,High
4,1,2,64,1471,F,flight,medium,female,on_time,Low
5,5,5,4,4410,F,ship,medium,female,on_time,High
6,4,4,4,4401,A,road,medium,male,late,High
2,2,4,9,3413,C,ship,low,male,on_time,Low
4,4,3,12,3359,B,road,medium,female,on_time,Low
5,1,5,6,1667,F,ship,low,male,late,Low
5,5,2,40,1446,C,ship,medium,female,on_time,Low
4,3,3,8,4423,B,flight,low,female,late,High
4,3,3,4,5613,D,ship,medium,female,on_time,High
5,2,2,1,5005,B,ship,low,male,late,High
4,5,2,33,2170,C,ship,medium,male,on_time,Low
3,4,3,2,4524,F,ship,medium,male,on_time,High
3,1,3,2,4425,C,flight,low,male,late,High
3,3,4,10,5137,B,ship,medium,male,on_time,High
3,4,2,51,2628,A,flight,low,male,on_time,Low
6,1,4,5,1253,C,road,low,male,on_time,Low
4,3,2,5,4681,A,ship,medium,female,on_time,High
4,1,8,12,1519,D,ship,low,female,on_time,Low
5,2,3,7,1855,B,road,low,female,on_time,Low
3,3,2,6,5044,F,ship,low,male,late,High
7,2,4,7,1383,F,road,low,female,on_time,Low
6,3,4,7,1599,A,ship,medium,female,on_time,Low
6,5,6,60,1971,F,road,low,female,on_time,Low
4,4,4,10,5984,A,ship,low,female,late,High
7,3,4,3,1426,D,ship,medium,female,on_time,Low
3,1,3,7,4004,A,ship,medium,male,on_time,High
4,5,2,7,4068,F,flight,low,male,late,High
4,3,2,11,2252,B,flight,high,male,on_time,Low
4,4,10,24,3271,D,ship,low,male,on_time,Low
3,1,2,35,3524,C,ship,low,female,on_time,Low
5,3,2,49,2581,D,ship,high,female,on_time,Low
4,2,3,9,4977,C,ship,medium,female,on_time,High
4,5,3,3,4020,F,ship,medium,male,late,High
3,1,3,61,3542,F,ship,low,male,on_time,Low
4,5,4,6,4652,A,ship,low,female,late,High
5,2,4,61,1161,C,flight,high,female,on_time,Low
5,5,3,5,4195,F,road,low,male,on_time,High
4,1,3,25,3717,D,ship,medium,female,on_time,High
5,3,2,4,3297,D,ship,medium,male,on_time,Low
5,1,3,9,4895,C,ship,low,female,late,High
4,3,3,38,3705,F,ship,medium,male,on_time,High
7,3,5,9,1764,F,road,low,female,late,Low
2,3,8,21,1033,A,ship,medium,male,on_time,Low
5,1,5,3,1644,B,ship,medium,male,on_time,Low
3,4,2,7,4013,F,ship,medium,male,on_time,High
4,4,3,1,4019,F,ship,medium,female,late,High
3,5,4,19,2893,D,road,high,male,on_time,Low
3,3,3,4,5056,F,ship,low,female,on_time,High
4,5,4,9,5769,A,road,medium,male,late,High
2,1,4,57,1881,D,ship,low,female,on_time,Low
5,3,2,12,3400,D,ship,low,female,on_time,Low
4,2,2,1,5909,C,ship,medium,female,late,High
6,5,4,3,1660,A,ship,medium,female,late,Low
4,4,3,1,1165,D,flight,low,female,on_time,Low
5,3,5,48,1883,F,ship,high,male,on_time,Low
2,3,4,3,4719,C,ship,medium,male,late,High
4,2,5,9,4720,B,ship,low,male,on_time,High
6,2,4,6,1335,A,road,low,female,late,Low
3,3,3,6,5261,F,ship,low,female,on_time,High
4,3,2,7,4947,C,ship,low,male,on_time,High
3,4,6,33,2815,F,ship,medium,female,on_time,Low
5,1,4,2,5600,F,flight,high,female,late,High
3,4,4,5,5604,F,ship,low,male,on_time,High
4,1,3,8,4974,C,flight,low,female,on_time,High
6,5,4,5,1484,F,road,medium,male,late,Low
5,3,3,10,4524,F,ship,medium,female,on_time,High
4,2,2,7,5764,B,ship,medium,male,late,High
3,4,3,5,4767,A,ship,medium,male,on_time,High
6,5,6,2,4014,C,ship,low,male,on_time,High
5,1,2,62,1884,B,ship,low,male,on_time,Low
2,5,3,6,1057,A,flight,medium,female,late,Low
3,4,3,6,5565,B,ship,low,male,late,High
4,1,2,7,3405,F,flight,medium,female,on_time,Low
3,1,3,10,4244,D,flight,medium,female,late,High
3,5,3,4,4569,D,ship,high,female,late,High
5,3,4,2,1034,A,ship,low,female,late,Low
4,2,3,9,4085,A,ship,low,male,late,High
5,3,4,3,4885,F,ship,low,male,on_time,High
3,1,3,2,4766,D,ship,medium,female,on_time,High
4,3,2,7,5384,C,ship,medium,female,late,High
4,5,5,3,1118,D,ship,low,female,late,Low
3,2,7,9,5313,F,ship,medium,female,on_time,High
3,5,2,2,4207,A,ship,low,male,late,High
3,3,4,56,1440,B,ship,low,male,on_time,Low
3,3,3,5,4197,A,ship,medium,male,on_time,High
3,2,4,16,2277,B,ship,medium,female,on_time,Low
4,5,3,18,1808,F,ship,medium,male,on_time,Low
3,2,3,9,2521,F,ship,medium,female,on_time,Low
3,2,3,25,2023,F,ship,medium,female,on_time,Low
3,1,2,2,5572,C,ship,low,female,on_time,High
4,2,2,30,1336,F,ship,low,female,on_time,Low
4,2,4,2,4316,C,ship,medium,female,late,High
4,1,6,8,1141,D,flight,low,male,on_time,Low
5,1,3,4,5869,F,road,low,female,on_time,High
5,5,3,1,5226,B,ship,low,male,late,High
5,5,3,18,3163,F,ship,low,female,on_time,Low
6,4,5,8,4511,F,flight,medium,male,on_time,High
2,1,4,5,4614,D,ship,low,male,late,High
4,4,3,36,3769,F,ship,medium,female,on_time,High
3,5,3,8,3154,D,ship,low,female,on_time,Low
3,5,2,4,4495,D,flight,low,male,late,High
4,3,4,8,5982,F,ship,medium,male,on_time,High
6,2,4,2,1648,C,ship,low,male,late,Low
6,3,4,5,1712,B,ship,low,male,late,Low
4,4,3,13,2042,B,road,low,female,on_time,Low
4,2,4,52,1401,B,ship,medium,female,on_time,Low
4,1,5,8,1257,F,flight,low,female,late,Low
3,5,3,7,4147,F,ship,medium,female,late,High
6,5,6,7,2709,F,ship,low,male,on_time,Low
3,5,2,3,4208,F,road,medium,male,on_time,High
4,1,5,5,1581,C,ship,low,female,on_time,Low
3,1,3,10,5696,D,ship,medium,male,on_time,High
4,3,3,9,5131,C,flight,medium,female,on_time,High
5,3,6,6,1830,C,ship,medium,female,on_time,Low
5,4,3,43,2143,A,ship,low,male,on_time,Low
5,1,2,5,5441,B,flight,medium,male,on_time,High
6,1,5,2,1190,F,road,low,female,on_time,Low
3,3,10,10,5772,F,ship,medium,male,late,High
3,4,3,44,2548,F,ship,low,male,on_time,Low
3,3,3,6,5652,F,ship,low,female,late,High
4,4,3,2,4320,C,ship,medium,female,on_time,High
5,2,3,3,5692,F,ship,medium,male,late,High
4,3,3,10,5002,B,ship,low,female,on_time,High
3,4,3,31,3489,F,ship,low,male,on_time,Low
2,5,5,46,2437,F,ship,low,male,on_time,Low
4,4,3,23,1058,C,road,low,male,on_time,Low
3,5,3,10,5991,C,ship,high,female,on_time,High
5,1,2,3,5391,C,ship,medium,female,on_time,High
2,5,5,8,4269,C,ship,low,female,late,High
3,5,4,3,4033,C,ship,medium,male,late,High
4,2,4,5,5250,F,ship,high,male,late,High
4,1,3,18,3940,C,ship,medium,female,on_time,High
6,5,4,2,1832,F,ship,low,male,on_time,Low
6,5,4,3,5549,D,ship,medium,female,late,High
3,1,3,1,2744,F,flight,medium,male,on_time,Low
5,2,3,16,1969,B,ship,medium,female,on_time,Low
4,4,3,7,4709,C,ship,low,female,late,High
3,3,4,4,1678,A,road,medium,female,on_time,Low
3,2,2,2,5083,A,ship,low,female,late,High
5,4,2,7,4734,F,ship,medium,female,late,High
4,4,2,6,4029,F,road,low,male,on_time,High
4,4,3,6,4254,C,road,low,male,late,High
3,4,3,7,4490,F,ship,low,female,late,High
2,1,2,58,3626,F,ship,medium,male,on_time,Low
5,3,5,7,1696,D,ship,medium,male,on_time,Low
5,2,3,32,3645,F,flight,low,male,on_time,High
3,2,2,10,5608,F,road,medium,female,late,High
3,2,2,1,4999,F,road,high,male,late,High
2,2,5,3,5185,D,flight,medium,male,on_time,High
4,3,4,34,3446,C,road,low,male,on_time,Low
5,1,2,30,1377,B,flight,medium,female,on_time,Low
5,1,3,3,5013,A,ship,low,female,late,High
3,5,2,3,5195,A,ship,high,female,late,High
7,3,4,7,1989,D,ship,medium,female,late,Low
4,1,3,4,5060,B,ship,medium,female,on_time,High
4,4,3,61,1507,B,road,low,female,on_time,Low
5,5,6,1,1082,D,road,medium,female,late,Low
4,1,5,9,1145,B,road,medium,male,late,Low
3,1,2,18,2832,C,ship,medium,female,on_time,Low
5,1,4,5,5792,F,ship,low,male,late,High
3,4,2,3,5811,D,road,low,female,on_time,High
4,3,6,5,5456,F,ship,medium,male,on_time,High
3,3,5,3,1504,A,ship,low,female,late,Low
6,5,3,3,5747,F,ship,medium,male,late,High
3,1,2,8,4292,F,flight,low,female,on_time,High
3,4,2,49,2643,F,ship,high,male,on_time,Low
3,5,2,29,1934,F,ship,low,male,on_time,Low
5,3,4,29,1094,F,ship,medium,female,on_time,Low
6,3,5,9,1483,B,ship,low,male,on_time,Low
5,2,5,4,1013,F,ship,medium,female,on_time,Low
4,1,3,3,1453,C,ship,high,female,on_time,Low
5,3,2,7,5783,B,flight,medium,male,on_time,High
3,5,4,8,4162,C,ship,medium,female,on_time,High
6,1,4,9,1302,A,ship,low,female,late,Low
6,1,5,5,1555,B,flight,low,female,late,Low
3,2,4,1,4877,F,flight,medium,male,late,High
4,1,5,7,1899,B,ship,medium,female,on_time,Low
4,3,4,8,4220,A,ship,medium,male,late,High
3,3,3,3,5538,F,ship,low,female,late,High
3,1,3,6,4010,F,ship,low,male,late,High
3,4,2,29,3142,C,ship,medium,male,on_time,Low
4,1,3,54,3043,C,flight,medium,male,on_time,Low
4,4,10,7,4624,F,ship,high,female,late,High
3,3,4,22,2942,D,ship,high,female,on_time,Low
5,1,4,2,4615,F,flight,high,male,on_time,High
4,2,4,37,2200,C,ship,medium,male,on_time,Low
4,4,5,10,1173,D,road,low,female,on_time,Low
5,2,3,10,5598,F,flight,medium,female,late,High
4,4,2,6,5520,F,ship,low,male,late,High
5,2,3,16,1499,A,ship,medium,male,on_time,Low
4,5,3,65,1277,A,ship,low,female,on_time,Low
5,4,2,36,3819,F,ship,low,female,on_time,High
6,1,4,2,5844,C,ship,medium,female,late,High
4,4,3,7,5197,D,ship,high,female,late,High
4,3,3,52,2440,C,ship,medium,female,on_time,Low
4,2,3,8,4575,D,road,low,male,on_time,High
4,1,3,9,4024,D,flight,low,female,on_time,High
3,5,3,2,5653,D,ship,medium,female,on_time,High
4,1,2,6,5894,B,ship,low,male,on_time,High
4,4,3,1,4266,D,ship,low,female,late,High
3,5,2,42,3814,A,ship,low,female,on_time,High
4,5,3,6,2717,F,ship,medium,male,on_time,Low
6,5,4,2,1218,F,ship,low,female,on_time,Low
6,1,5,5,5323,C,ship,medium,male,on_time,High
4,3,5,6,1867,F,ship,low,male,on_time,Low
5,3,2,7,4531,B,flight,medium,male,on_time,High
4,2,2,6,4573,A,flight,medium,female,late,High
4,4,5,1,1761,D,ship,low,male,late,Low
5,1,2,6,5518,A,ship,medium,male,late,High
5,4,3,59,1178,A,road,low,female,on_time,Low
3,4,6,7,4098,D,road,low,female,on_time,High
4,4,2,52,1459,F,flight,low,male,on_time,Low
2,2,2,17,1824,D,flight,low,male,on_time,Low
7,4,5,7,1563,D,ship,medium,female,on_time,Low
3,1,3,8,5030,B,ship,high,male,on_time,High
5,2,5,6,1491,A,ship,high,male,on_time,Low
4,4,5,2,1690,B,ship,medium,female,on_time,Low
3,2,6,10,4725,F,ship,medium,female,on_time,High
5,2,4,10,1141,A,flight,medium,female,on_time,Low
6,4,4,9,1253,F,flight,low,male,on_time,Low
3,5,3,5,4570,D,road,low,male,late,High
2,5,6,1,5675,D,ship,medium,female,late,High
4,3,3,4,5770,F,ship,medium,female,on_time,High
4,4,2,8,5192,F,ship,low,male,late,High
3,2,2,7,5531,F,road,medium,female,on_time,High
6,2,4,6,1123,B,ship,low,female,late,Low
7,5,4,6,1165,C,ship,medium,male,late,Low
2,5,3,10,5775,F,ship,high,female,on_time,High
5,1,2,40,1024,B,ship,medium,female,on_time,Low
5,2,3,2,4270,D,flight,low,female,late,High
4,2,2,8,1495,D,ship,low,female,on_time,Low
4,4,3,2,5385,F,ship,low,female,late,High
3,5,2,1,4913,A,ship,medium,male,late,High
4,4,5,10,1316,C,ship,low,male,late,Low
4,5,3,7,5383,A,flight,low,female,late,High
6,3,4,3,1006,F,road,low,male,late,Low
7,1,4,7,1841,B,ship,medium,male,on_time,Low
4,2,2,6,4987,F,flight,medium,male,late,High
3,3,3,29,3453,B,ship,medium,female,on_time,Low
4,3,3,7,5935,C,ship,medium,female,late,High
2,5,3,3,4770,B,ship,low,male,on_time,High
2,5,3,9,5810,C,ship,low,female,late,High
5,3,3,9,5324,A,ship,low,female,late,High
4,5,5,8,1574,A,ship,low,male,on_time,Low
5,5,3,10,5163,A,ship,low,female,late,High
5,1,5,4,1009,F,road,medium,female,late,Low
5,4,3,7,5335,C,flight,low,male,on_time,High
4,4,3,21,3307,F,flight,low,male,on_time,Low
3,5,3,10,4639,F,ship,high,male,on_time,High
4,1,3,4,4910,C,ship,high,female,late,High
3,1,3,8,4002,A,road,low,female,late,High
6,3,6,8,5661,D,ship,high,male,late,High
6,2,4,9,1626,B,ship,low,female,late,Low
3,4,5,5,5365,F,ship,medium,female,late,High
5,4,4,2,4183,B,ship,low,male,late,High
4,2,5,6,1736,B,ship,medium,female,on_time,Low
5,4,3,6,2206,B,flight,medium,male,on_time,Low
4,1,3,10,5832,A,ship,medium,male,late,High
4,4,8,46,3345,B,ship,medium,female,on_time,Low
4,5,3,2,4272,A,road,low,male,late,High
5,4,4,8,4566,A,ship,low,male,on_time,High
3,2,4,55,1165,C,ship,medium,male,on_time,Low
4,1,2,1,5578,F,ship,low,male,late,High
6,4,4,5,1794,C,ship,low,female,on_time,Low
5,1,3,6,4505,F,ship,medium,male,on_time,High
5,4,2,20,1765,B,road,low,female,on_time,Low
4,1,5,8,1306,B,ship,low,male,late,Low
5,5,6,9,4587,F,ship,medium,female,late,High
3,5,2,10,4064,C,ship,medium,female,on_time,High
6,1,5,7,1223,C,ship,medium,male,late,Low
4,1,3,2,4940,B,flight,medium,male,late,High
5,5,3,9,4775,B,flight,medium,male,on_time,High
3,1,2,6,4966,F,ship,medium,male,late,High
4,3,3,7,5976,A,ship,low,female,late,High
4,2,3,10,4643,B,ship,high,male,on_time,High
5,3,4,60,1159,F,flight,medium,male,on_time,Low
5,3,5,5,1842,A,flight,low,male,late,Low
5,2,3,7,5768,C,flight,low,female,on_time,High
3,3,2,6,4989,B,flight,medium,male,on_time,High
5,4,5,6,3592,F,flight,low,male,on_time,Low
3,1,3,29,1414,D,flight,low,female,on_time,Low
4,4,3,6,5758,F,road,low,female,on_time,High
4,5,5,2,1024,F,ship,low,female,on_time,Low
3,2,3,7,5657,B,ship,low,male,on_time,High
4,2,5,9,4618,B,road,medium,male,late,High
6,5,2,6,1726,D,flight,low,female,on_time,Low
7,2,4,7,1294,A,ship,low,female,late,Low
5,1,4,10,5306,C,ship,medium,male,on_time,High
5,1,3,5,4951,F,ship,high,male,on_time,High
3,5,3,10,5333,D,ship,low,male,late,High
3,2,3,19,3183,B,ship,low,female,on_time,Low
4,5,3,2,5286,C,ship,medium,male,on_time,High
3,3,3,20,1305,C,ship,high,female,on_time,Low
2,2,3,33,1217,A,ship,low,male,on_time,Low
2,1,4,7,5434,F,ship,medium,female,late,High
4,1,4,61,3402,A,road,medium,male,on_time,Low
6,2,4,8,1941,A,ship,medium,male,late,Low
3,3,2,4,5960,D,ship,low,female,late,High
5,2,8,24,3139,A,ship,medium,male,on_time,Low
5,4,4,8,5878,D,ship,medium,female,on_time,High
3,1,2,56,3463,F,ship,low,male,on_time,Low
3,2,2,3,4409,F,road,low,male,late,High
3,2,2,7,5553,B,road,low,male,on_time,High
2,2,2,16,2223,C,road,medium,female,on_time,Low
4,4,5,6,4055,F,ship,low,male,late,High
3,4,2,2,4177,B,ship,medium,male,late,High
3,5,3,7,4459,F,ship,high,female,on_time,High
4,1,2,4,4401,A,ship,low,male,late,High
3,1,8,9,5248,A,ship,medium,female,on_time,High
2,5,3,2,4853,A,ship,medium,male,late,High
4,4,3,4,5905,F,road,low,male,late,High
2,1,5,3,1038,A,ship,medium,male,late,Low
3,4,3,52,2129,C,ship,low,female,on_time,Low
5,5,2,5,5791,C,ship,low,male,late,High
3,3,2,39,3857,B,ship,medium,male,on_time,High
4,2,6,9,4736,F,ship,medium,male,on_time,High
3,1,4,27,1184,C,ship,low,male,on_time,Low
3,2,3,63,2143,F,ship,low,male,on_time,Low
4,2,5,9,1206,F,road,low,male,on_time,Low
3,3,2,3,4665,B,road,medium,female,late,High
4,3,3,4,5769,D,flight,medium,female,on_time,High
4,3,3,3,5669,F,flight,medium,male,late,High
5,4,3,3,5555,C,ship,low,male,late,High
4,2,2,9,5080,B,ship,high,female,on_time,High
4,5,2,60,3427,F,ship,medium,female,on_time,Low
2,2,4,39,2424,D,ship,medium,male,on_time,Low
3,3,3,5,2713,F,ship,low,male,on_time,Low
4,4,2,6,4308,F,ship,low,male,on_time,High
3,4,3,4,5844,A,ship,low,female,late,High
3,3,4,3,3075,F,ship,medium,male,on_time,Low
4,1,3,9,4242,A,ship,medium,male,on_time,High
3,2,4,1,4158,A,ship,high,male,late,High
4,5,6,4,3909,F,ship,low,male,on_time,High
5,1,2,6,4873,B,ship,medium,male,late,High
3,5,2,9,1205,F,ship,low,female,late,Low
4,4,3,10,4289,C,road,low,male,late,High
3,2,2,6,5095,F,flight,medium,male,on_time,High
4,2,4,22,2460,C,ship,medium,female,on_time,Low
5,3,5,4,1123,B,flight,medium,male,late,Low
5,5,2,63,2583,A,ship,medium,male,on_time,Low
4,2,2,3,4869,A,ship,low,male,on_time,High
4,5,3,3,5438,A,road,low,male,late,High
3,1,3,7,5802,A,road,low,female,on_time,High
5,4,5,10,1177,F,flight,low,male,late,Low
6,3,5,10,1254,B,ship,medium,female,on_time,Low
4,4,3,9,5041,D,ship,low,male,late,High
5,2,3,10,4347,F,ship,low,male,on_time,High
4,2,3,47,1434,C,flight,low,female,on_time,Low
3,1,2,4,4387,A,flight,low,female,on_time,High
4,3,5,4,1839,F,flight,low,female,on_time,Low
5,4,6,3,1075,B,ship,medium,female,late,Low
3,4,3,52,1587,A,ship,medium,male,on_time,Low
3,3,3,3,4187,A,flight,medium,female,on_time,High
3,1,3,1,4948,C,ship,high,male,late,High
2,5,3,3,1368,B,ship,low,male,late,Low
4,3,4,5,5177,F,ship,medium,female,on_time,High
3,4,3,5,5183,F,road,medium,male,late,High
3,5,3,7,4764,B,ship,medium,male,late,High
3,5,2,2,5978,F,ship,high,male,on_time,High
6,1,4,1,1216,F,ship,medium,male,on_time,Low
6,4,4,6,1342,F,ship,low,male,late,Low
5,1,4,4,1853,C,ship,low,female,late,Low
3,3,2,9,4608,C,road,low,female,late,High
3,1,3,5,5528,A,ship,low,male,late,High
4,5,2,1,2644,F,road,low,female,on_time,Low
5,1,2,9,5252,D,ship,low,male,late,High
5,3,4,7,4308,F,ship,medium,male,late,High
3,1,5,8,4980,C,ship,low,female,on_time,High
6,5,4,6,1929,D,ship,low,male,late,Low
4,2,2,1,2990,C,ship,high,male,on_time,Low
4,4,2,4,5671,C,ship,low,male,late,High
4,2,3,10,5137,A,ship,low,male,on_time,High
5,1,5,1,1600,A,ship,low,male,late,Low
3,4,3,4,5830,A,ship,high,male,on_time,High
4,3,3,9,5621,F,road,low,male,on_time,High
4,1,3,8,4114,C,ship,low,female,late,High
3,2,4,49,2414,B,ship,low,male,on_time,Low
2,4,3,50,1030,F,road,low,female,on_time,Low
3,5,2,3,4878,F,road,low,female,late,High
5,4,3,10,5675,F,flight,low,female,late,High
3,3,2,2,4814,C,flight,medium,male,late,High
5,2,2,4,5405,A,road,medium,male,late,High
2,4,2,10,5337,F,ship,low,male,on_time,High
2,4,5,5,5334,D,ship,high,female,on_time,High
5,5,2,55,2791,C,ship,medium,female,on_time,Low
3,1,2,7,4556,F,road,medium,female,late,High
5,4,6,1,5433,C,road,medium,male,late,High
5,3,4,24,3473,A,flight,low,female,on_time,Low
4,3,3,10,5802,F,ship,medium,female,on_time,High
4,1,4,8,4970,A,ship,low,male,late,High
4,4,2,5,4774,F,ship,medium,male,on_time,High
5,5,3,5,4315,C,road,medium,female,late,High
6,4,4,1,1130,F,ship,low,male,on_time,Low
4,3,2,3,4636,C,ship,medium,male,on_time,High
2,3,2,1,2905,D,ship,low,male,on_time,Low
4,5,2,1,4606,A,road,medium,female,late,High
4,4,5,4,1503,F,ship,medium,female,late,Low
3,4,3,4,5361,D,ship,medium,male,on_time,High
4,4,6,5,4640,F,flight,low,female,on_time,High
3,2,2,3,1983,A,ship,medium,male,on_time,Low
6,2,2,10,5180,A,flight,low,male,on_time,High
3,4,3,9,5908,B,ship,medium,male,on_time,High
4,5,5,4,4704,A,ship,medium,male,late,High
6,5,4,1,1977,C,flight,medium,male,late,Low
3,3,10,2,4847,A,ship,medium,male,late,High
4,4,4,10,4827,C,ship,low,female,late,High
3,5,2,5,2339,D,road,medium,female,on_time,Low
5,1,5,1,1488,F,flight,low,male,on_time,Low
4,4,3,2,4760,C,ship,medium,male,late,High
5,4,6,10,1978,D,road,low,female,on_time,Low
4,3,6,3,1155,B,ship,low,female,late,Low
4,3,4,3,4548,F,ship,medium,male,late,High
3,5,5,7,4370,B,flight,low,male,on_time,High
4,5,2,6,5045,B,ship,medium,male,on_time,High
4,4,5,56,2697,D,ship,medium,female,on_time,Low
4,5,10,7,5340,F,road,low,female,late,High
4,4,2,8,5398,D,road,medium,male,late,High
6,4,4,10,1318,A,ship,low,male,late,Low
6,3,4,8,1754,F,ship,low,female,on_time,Low
3,2,2,5,5264,C,ship,medium,male,late,High
3,1,4,10,1551,B,road,medium,female,late,Low
4,3,5,4,1470,F,flight,low,male,late,Low
5,2,6,10,1196,F,ship,low,male,late,Low
4,1,10,23,2726,B,ship,medium,female,on_time,Low
4,4,2,5,4356,D,road,medium,female,late,High
4,4,2,5,5624,F,ship,medium,female,late,High
2,2,3,1,5154,F,flight,low,male,late,High
2,4,4,8,4620,C,ship,medium,female,late,High
4,4,4,5,1263,F,road,low,male,on_time,Low
4,5,3,43,3856,D,road,medium,female,on_time,High
4,4,5,6,1239,A,ship,low,female,late,Low
4,4,6,9,1192,F,ship,low,female,on_time,Low
3,4,5,9,5308,F,road,medium,female,late,High
5,1,4,9,4418,F,flight,medium,female,on_time,High
6,2,5,7,4057,F,road,low,female,late,High
4,4,3,10,4947,A,ship,medium,male,late,High
5,3,5,1,5581,B,road,low,female,late,High
4,5,4,9,5034,B,ship,medium,female,on_time,High
4,2,3,64,2198,C,ship,medium,female,on_time,Low
4,1,4,1,5789,B,ship,low,female,late,High
6,4,4,7,1831,B,flight,low,male,late,Low
4,2,2,5,4668,F,ship,low,female,late,High
4,5,3,5,5335,D,road,low,male,late,High
3,4,2,63,3447,F,ship,low,male,on_time,Low
4,3,6,37,1344,A,ship,low,male,on_time,Low
3,3,3,3,5644,D,road,medium,male,late,High
3,3,2,52,1040,D,ship,low,female,on_time,Low
5,3,5,3,1005,B,road,low,female,on_time,Low
3,2,3,8,5171,C,ship,medium,male,late,High
5,4,2,6,4547,F,ship,low,male,late,High
4,4,4,2,5595,F,ship,low,female,on_time,High
3,5,2,2,4141,F,ship,low,female,late,High
3,2,2,4,4417,C,ship,medium,male,late,High
3,4,5,7,5653,C,road,medium,male,on_time,High
3,2,3,5,4999,C,ship,medium,male,late,High
6,4,4,4,4098,C,ship,low,female,late,High
4,2,4,1,4705,F,ship,low,male,on_time,High
4,1,4,7,1130,A,ship,low,male,on_time,Low
3,3,3,6,5089,A,ship,high,male,on_time,High
6,1,4,10,1904,C,ship,medium,female,on_time,Low
4,1,3,8,1326,C,ship,low,male,on_time,Low
6,1,4,7,1153,F,ship,low,female,late,Low
3,2,2,2,4677,B,ship,low,female,late,High
5,3,3,43,1446,D,ship,low,female,on_time,Low
4,5,2,36,3389,F,flight,low,female,on_time,Low
4,4,3,61,1609,C,ship,medium,female,on_time,Low
2,2,5,6,4196,B,ship,medium,female,late,High
3,2,2,6,5410,D,ship,low,female,late,High
6,1,3,12,1592,C,flight,high,male,on_time,Low
5,1,3,3,4345,B,ship,high,female,on_time,High
4,4,2,35,2596,F,ship,medium,male,on_time,Low
5,5,5,6,1101,F,ship,medium,female,late,Low
5,4,4,10,1995,C,ship,low,female,late,Low
3,4,4,9,5575,F,ship,medium,female,late,High
5,3,5,3,5888,F,ship,medium,male,late,High
5,3,5,5,1080,F,ship,medium,male,on_time,Low
